Acer amoenum var. matsumurae,ヤマモミジ,broadleaved
Acer buergerianum,トウカエデ,broadleaved
Acer palmatum,イロハモミジ,broadleaved
Acer pycnanthum,ハナノキ,broadleaved
Acer,カエデ属,broadleaved
Aesculus hippocastanum,マロニエ,broadleaved
Aesculus turbinata,トチノキ,broadleaved
Aesculus x carnea,ベニバナトチノキ,broadleaved
Aesculus,トチノキ属,broadleaved
Albizia julibrissin,ネムノキ,broadleaved
Albizia,ネムノキ属,broadleaved
Aphananthe aspera,ムクノキ,broadleaved
Aphananthe,ムクノキ属,broadleaved
Aucuba japonica,アオキ,broadleaved
Aucuba,アオキ属,broadleaved
Broussonetia papyrifera,カジノキ,broadleaved
Broussonetia,コウゾ属,broadleaved
Callistemon,ブラシノキ属,broadleaved
Calophyllum inophyllum,テリハボク,broadleaved
Calophyllum,テリハボク属,broadleaved
Camellia japonica,ヤブツバキ,broadleaved
Camellia sasanqua,サザンカ,broadleaved
Camellia sinensis,チャノキ,broadleaved
Camellia,ツバキ属,broadleaved
Castanopsis sieboldii,スダジイ,broadleaved
Castanopsis,シイ属,broadleaved
Catalpa bignonioides,アメリカキササゲ,broadleaved
Catalpa ovata,キササゲ,broadleaved
Catalpa,キササゲ属,broadleaved
Cedrus deodara,ヒマラヤスギ,needleleaved
Cedrus libani,レバノンスギ,needleleaved
Cedrus,ヒマラヤスギ属,needleleaved
Celtis sinensis,エノキ,broadleaved
Celtis,エノキ属,broadleaved
Cerasus 'Albo-rosea',フゲンゾウ,broadleaved
Cerasus 'Hisakura',イチヨウ,broadleaved
Cerasus 'Kanzan',カンザン,broadleaved
Cerasus 'Sobanzakura',イツカヤマ,broadleaved
Cerasus 'Yoko',ヨウコウ,broadleaved
Cerasus campanulata,カンヒザクラ,broadleaved
Cerasus itosakura 'Pendula',イトザクラ,broadleaved
Cerasus itosakura 'Plena-rosea',ヤエベニシダレ,broadleaved
Cerasus itosakura var. itosakura f. ascendens,エドヒガン,broadleaved
Cerasus itosakura,エドヒガン (広義),broadleaved
Cerasus jamasakura,ヤマザクラ,broadleaved
Cerasus leveilleana,カスミザクラ,broadleaved
Cerasus speciosa,オオシマザクラ,broadleaved
Cerasus x incam 'Okame',オカメザクラ,broadleaved
